ts,ecg
1365004407.49952,14972.71875
1365004407.49996,14938.77344
1365004407.51339,14978.91211
1365004407.51361,14943.04883
1365004407.52733,14956.53418
1365004407.53837,14985.97266
1365004407.53855,14970.66699
1365004407.54537,15026.37988
1365004407.55434,15025.65918
1365004407.56938,15061.68066
1365004407.56956,15112.69043
1365004407.58336,15092.35254
1365004407.58343,15131.44043
1365004407.59747,15110.96875
1365004407.60934,15102.75977
1365004407.60956,15149.73926
1365004407.62849,15103.40723
1365004407.62888,15127.10449
1365004407.64035,15128.7168
1365004407.64057,15101.33105
1365004407.65239,15142.99609
1365004407.65246,15100.46387
1365004407.66348,15114.7793
1365004407.67848,15139.57617
1365004407.67855,15090.77734
1365004407.6933,15135.41016
1365004407.69345,15100.56152
1365004407.70833,15097.99609
1365004407.70857,15122.87793
1365004407.72039,15085.08496
1365004407.73245,15120.59375
1365004407.73269,15120.69141
1365004407.7484,15105.11719
1365004407.74848,15154.14844
1365004407.76342,15114.49902
1365004407.76376,15132.07617
1365004407.77742,15141.45703
1365004407.7775,15112.33691
1365004407.78836,15147.6748
1365004407.8034,15112.11621
1365004407.8035,15131.36719
1365004407.81845,15166.18066
1365004407.81852,15117.34473
1365004407.8324,15153.1709
1365004407.8325,15138.39062
1365004407.84742,15125.8584
1365004407.85531,15158.25293
1365004407.85536,15114.10742
1365004407.86366,15147.83301
1365004407.87335,15133.02832
1365004407.88836,15106.09473
1365004407.88841,15145.06055
1365004407.9014,15100.18262
1365004407.90146,15139.17285
1365004407.91241,15153.58691
1365004407.92543,15124.42969
1365004407.9256,15159.84082
1365004407.94337,15114.55957
1365004407.94344,15130.70801
1365004407.95729,15154.27051
1365004407.95734,15111.39551
1365004407.97036,15155.44336
1365004407.98043,15130.93945
1365004407.9805,15128.2041
1365004407.99738,15154.97949
1365004407.99745,15109.50293
1365004408.01242,15097.16504
1365004408.0125,14997.4668
1365004408.0263,14948.58203
1365004408.02637,15212.02344
1365004408.03538,15741.84863
1365004408.05335,16158.36816
1365004408.05341,16070.35938
1365004408.06538,15760.39062
1365004408.06545,15486.4209
1365004408.08842,15235.5
1365004408.0885,15147.66211
1365004408.09235,15137.96387
1365004408.10537,15090.50781
1365004408.10544,15126.35938
1365004408.12235,15090.19043
1365004408.12242,15077.93945
1365004408.13537,15108.15918
1365004408.13544,15063.0127
1365004408.14939,15086.92969
1365004408.16035,15070.64648
1365004408.16042,15045.65527
1365004408.17536,15076.02148
1365004408.17544,15032.24316
1365004408.19239,15044.55566
1365004408.19247,15038.14258
1365004408.20743,14985.97266
1365004408.20751,15007.78809
1365004408.22035,14963.5459
1365004408.22043,14958.69629
1365004408.2304,14966.64844
1365004408.2454,14914.9541
1365004408.24548,14952.94336
1365004408.26245,14925.16602
1365004408.26262,14936.50195
1365004408.27436,14982.89453
1365004408.27443,14967.4541
1365004408.28535,15021.32227
1365004408.30035,15036.33496
1365004408.30042,15037.72754
1365004408.31842,15102.71094
1365004408.31852,15077.68262
1365004408.33039,15103.7002
1365004408.33046,15120.66699
1365004408.34539,15098.41113
1365004408.34547,15139.72266
1365004408.35532,15097.00684
1365004408.36943,15113.96094
1365004408.3695,15138.13477
1365004408.38537,15099.10742
1365004408.38545,15135.99707
1365004408.39936,15112.60547
1365004408.40843,15106.10645
1365004408.40852,15140.41895
1365004408.41537,15096.87207
1365004408.42543,15134.34766
1365004408.44036,15118.08984
1365004408.44045,15096.04199
1365004408.4574,15138.92871
1365004408.45757,15102.90625
1365004408.46841,15123.75781
1365004408.47935,15132.35645
1365004408.47941,15100.65918
1365004408.49446,15141.41992
1365004408.49463,15120.67969
1365004408.50941,15137.54785
1365004408.50947,15156.81152
1365004408.52448,15119.61621
1365004408.52494,15161.67285
1365004408.5344,15119.66504
1365004408.55244,15123.46387
1365004408.55292,15154.30762
1365004408.56941,15104.04297
1365004408.56948,15142.11621
1365004408.57935,15123.63574
1365004408.5794,15115.8418
1365004408.59346,15154.40527
1365004408.59396,15103.57812
1365004408.60335,15128.14258
1365004408.61931,15129.10742
1365004408.61937,15079.7959
1365004408.63344,15121.57129
1365004408.63351,15073.57812
1365004408.64736,15106.87598
1365004408.65838,15138.96484
1365004408.65845,15100.69531
1365004408.66536,15145.81738
1365004408.67434,15107.53613
1365004408.68846,15115.69531
1365004408.68863,15163.3584
1365004408.70339,15104.87305
1365004408.70345,15134.88574
1365004408.71733,15131.50195
1365004408.72734,15101.96582
1365004408.72741,15144.65723
1365004408.73441,15098.61914
1365004408.74437,15098.08203
1365004408.75935,15018.06152
1365004408.7596,14915.22266
1365004408.77237,15109.08691
1365004408.77246,15704.51953
1365004408.78333,16313.86523
1365004408.7984,16285.26953
1365004408.7987,15927.22363
1365004408.8138,15587.79297
1365004408.81403,15277.62988
1365004408.82838,15128.39941
1365004408.82863,15123.66016
1365004408.84244,15063.59863
1365004408.85352,15088.06543
1365004408.85372,15065.52832
1365004408.8684,15039.91406
1365004408.86847,15065.69922
1365004408.8835,15009.05859
1365004408.88369,15035.63867
1365004408.89636,15033.43945
1365004408.89643,14991.87207
1365004408.90742,15043.48047
1365004408.92345,14986.09473
1365004408.92363,14992.72754
1365004408.93743,14993.86328
1365004408.9375,14935.23145
1365004408.95244,14957.63379
1365004408.95261,14907.41797
1365004408.96637,14889.97461
1365004408.97736,14912.41406
1365004408.97741,14851.05762
1365004408.99337,14881.80273
1365004408.99344,14871.61523
1365004409.00837,14855.33301
1365004409.00843,14919.88965
1365004409.02635,14902.53125
1365004409.02642,14967.625
1365004409.02935,14992.6543
1365004409.04733,14982.73535
1365004409.0474,15040.91504
1365004409.06343,15013.76172
1365004409.0635,15048.68457
1365004409.07735,15075.47168
1365004409.07744,15039.58398
1365004409.09038,15076.86426
1365004409.10237,15053.11816
1365004409.10246,15054.6084
1365004409.11762,15073.0166
1365004409.11783,15023.98535
1365004409.13236,15056.96582
1365004409.13244,15053.85059
1365004409.14542,15034.02637
1365004409.14559,15073.9082
1365004409.16036,15017.86523
1365004409.17339,15038.59473
1365004409.17345,15043.67578
1365004409.18838,15025.30469
1365004409.18845,15067.43457
1365004409.2024,15017.81641
1365004409.20248,15034.91797
1365004409.21632,15060.38574
1365004409.21638,15017.25488
1365004409.22736,15058.12598
1365004409.23335,15033.09766
1365004409.24429,15031.98633
1365004409.26237,15067.94727
1365004409.26244,15013.81055
1365004409.27239,15062.51172
1365004409.27245,15043.0166
1365004409.27844,15031.50977
1365004409.29535,15063.97754
1365004409.29542,15013.27246
1365004409.31246,15044.34766
1365004409.31264,15043.91992
1365004409.32736,15001.66895
1365004409.32743,15041.29395
1365004409.34034,14992.4834
1365004409.3404,14998.78613
1365004409.35039,15020.6875
1365004409.36942,14993.86328
1365004409.3695,15051.4082
1365004409.38035,15015.11719
1365004409.38044,15009.75488
1365004409.3934,15046.71777
1365004409.40437,14998.96875
1365004409.40445,15033.04883
1365004409.42039,15020.41895
1365004409.42046,15002.6582
1365004409.43437,15035.41895
1365004409.43445,14990.91895
1365004409.44938,15019.11133
1365004409.44945,15013.66406
1365004409.46543,14941.85156
1365004409.46553,14908.19922
1365004409.47733,14813.09375
1365004409.4954,15028.54199
1365004409.49549,15708.36719
1365004409.50944,16171.08398
1365004409.50961,16108.93359
1365004409.52038,15761.08691
1365004409.52738,15373.51758
1365004409.52745,15153.35449
1365004409.53435,14979.58398
1365004409.54533,14982.05176
1365004409.55941,14943.57422
1365004409.55948,14918.43555
1365004409.5743,14954.7998
1365004409.57436,14899.47754
1365004409.58838,14917.55566
1365004409.59942,14903.81445
1365004409.59948,14869.58789
1365004409.61447,14920.85449
1365004409.61493,14864.31055
1365004409.62944,14871.56641
1365004409.62951,14879.43262
1365004409.64439,14821.82715
1365004409.64475,14859.25391
1365004409.65438,14809.9668
1365004409.6684,14804.46973
1365004409.66848,14824.84473
1365004409.68453,14747.13281
1365004409.68494,14782.10352
1365004409.69941,14763.95215
1365004409.69948,14737.42188
1365004409.71455,14785.34082
1365004409.71497,14740.98828
1365004409.72439,14787.82031
1365004409.7393,14808.69629
1365004409.73943,14810.6748
1365004409.75338,14883.39062
1365004409.7536,14854.36816
1365004409.76834,14884.29492
1365004409.77854,14921.13477
1365004409.77907,14880.37402
1365004409.7853,14937.91895
1365004409.79543,14916.65234
1365004409.80936,14913.65918
1365004409.80957,14948.79004
1365004409.82348,14896.07031
1365004409.82355,14937.24707
1365004409.83736,14916.9209
1365004409.84837,14902.10449
1365004409.84854,14945.58984
1365004409.8644,14879.32324
1365004409.86449,14915.25977
1365004409.87946,14927.52344
